Hour,DryBulb,RT_EC
1,58,46.36
2,57,55.85
3,60,55.80
4,61,46.48
5,61,55.70
6,59,41.91
7,57,53.86
8,60,48.41
9,61,107.08
10,63,54.49
11,65,68.90
12,66,61.60
13,68,45.88
14,69,56.15
15,69,55.82
16,69,60.07
17,70,89.61
18,70,91.22
19,69,54.87
20,68,41.28
21,67,75.13
22,65,37.94
23,64,38.90
24,63,44.34
1,61,35.48
2,59,35.28
3,58,33.57
4,56,31.92
5,54,32.29
6,54,32.48
7,54,34.46
8,55,36.67
9,54,51.46
10,55,49.27
11,57,49.12
12,61,59.43
13,62,59.35
14,62,47.41
15,62,46.51
16,61,48.00
17,58,49.01
18,58,41.18
19,56,43.34
20,56,43.87
21,56,52.41
22,57,53.07
23,57,46.12
24,60,47.47
1,58,44.50
2,60,51.93
3,58,36.42
4,60,33.48
5,58,36.08
6,56,38.92
7,58,40.10
8,60,52.38
9,64,60.49
10,68,68.26
11,69,73.12
12,72,69.20
13,71,60.54
14,71,53.04
15,72,104.30
16,74,185.24
17,75,98.22
18,76,69.61
19,80,61.48
20,77,48.36
21,73,70.96
22,70,48.90
23,69,35.58
24,68,34.20
1,62,39.42
2,59,39.32
3,57,33.98
4,58,32.70
5,58,32.69
6,58,31.89
7,58,35.92
8,60,42.65
9,62,57.16
10,65,62.33
11,68,60.32
12,67,51.24
13,66,60.19
14,66,61.37
15,65,62.79
16,63,48.47
17,65,49.28
18,66,55.05
19,65,49.33
20,64,44.80
21,63,49.68
22,61,43.56
23,62,38.89
24,60,39.40
1,60,23.72
2,59,18.13
3,57,32.54
4,57,27.06
5,57,26.72
6,56,33.92
7,57,35.59
8,58,39.14
9,61,40.40
10,64,39.61
11,66,41.52
12,68,45.01
13,71,41.68
14,72,47.16
15,72,41.90
16,72,39.15
17,73,39.96
18,72,37.31
19,71,36.27
20,71,36.01
21,69,36.04
22,67,37.32
23,66,33.88
24,65,33.75
1,56,40.19
2,56,35.77
3,56,34.86
4,54,37.32
5,54,41.21
6,53,36.51
7,53,39.41
8,54,53.68
9,55,49.30
10,55,47.66
11,56,67.78
12,56,60.16
13,57,49.51
14,57,52.80
15,57,68.34
16,57,65.15
17,58,73.70
18,57,69.55
19,56,59.66
20,56,68.66
21,56,66.11
22,56,48.51
23,56,45.71
24,56,39.65
1,60,37.89
2,59,36.82
3,60,34.73
4,60,35.89
5,60,35.55
6,59,38.08
7,60,34.45
8,62,36.18
9,64,38.01
10,65,38.90
11,68,37.92
12,69,38.30
13,68,36.33
14,65,36.97
15,64,37.90
16,63,36.99
17,64,36.61
18,62,36.59
19,61,36.74
20,61,36.26
21,61,36.41
22,62,36.58
23,62,36.02
24,61,36.85
1,58,31.86
2,59,25.72
3,59,2.48
4,60,0.00
5,60,0.00
6,60,34.66
7,60,42.14
8,60,44.47
9,61,39.06
10,63,37.33
11,62,38.68
12,61,40.32
13,65,41.48
14,66,43.26
15,64,44.86
16,65,47.25
17,66,43.64
18,71,44.40
19,68,45.20
20,63,42.75
21,62,44.06
22,65,48.14
23,66,48.00
24,64,41.88
1,63,43.44
2,63,49.95
3,62,40.19
4,61,39.68
5,60,39.92
6,60,55.71
7,60,53.54
8,63,54.76
9,65,49.50
10,66,54.86
11,66,67.89
12,68,67.25
13,67,64.87
14,67,72.01
15,68,75.27
16,70,59.77
17,67,65.65
18,66,59.25
19,65,45.30
20,66,47.17
21,64,58.15
22,66,54.48
23,65,46.50
24,65,45.83
1,63,39.71
2,62,36.73
3,64,25.90
4,60,35.64
5,59,38.42
6,60,40.69
7,58,41.74
8,60,44.20
9,64,46.46
10,64,57.75
11,64,64.58
12,66,81.60
13,67,65.03
14,67,58.36
15,72,45.08
16,78,44.46
17,76,47.96
18,73,47.03
19,66,48.69
20,68,53.40
21,67,54.63
22,67,59.67
23,66,42.06
24,66,39.38
1,64,36.90
2,64,33.62
3,63,28.72
4,64,2.73
5,64,0.00
6,63,0.00
7,65,35.50
8,67,40.26
9,71,43.85
10,75,42.97
11,78,44.28
12,81,46.42
13,83,45.76
14,86,49.17
15,87,55.31
16,88,58.88
17,88,64.82
18,87,55.05
19,88,59.14
20,86,47.62
21,83,47.51
22,81,49.21
23,78,44.13
24,76,43.32
1,63,42.21
2,63,40.20
3,62,36.51
4,64,38.24
5,64,36.69
6,62,36.32
7,63,36.24
8,65,41.26
9,67,55.35
10,70,64.37
11,70,65.20
12,74,57.53
13,76,46.12
14,75,49.16
15,75,53.31
16,74,45.70
17,71,54.59
18,73,60.44
19,74,62.25
20,76,59.43
21,73,60.46
22,70,49.28
23,68,41.67
24,67,36.88
1,59,35.22
2,59,34.65
3,59,34.35
4,59,34.60
5,59,36.37
6,59,41.18
7,59,45.83
8,59,45.41
9,59,39.96
10,60,53.38
11,61,55.26
12,63,53.16
13,62,50.84
14,62,40.07
15,64,38.92
16,65,42.82
17,65,58.52
18,65,68.18
19,65,62.01
20,63,65.43
21,61,53.66
