Hour,DryBulb,DewPnt,DEMAND
1,44,40,2279
2,41,39,2175
3,42,40,2113
4,43,41,2088
5,45,43,2085
6,45,43,2126
7,45,44,2213
8,44,43,2298
9,45,44,2429
10,45,44,2587
11,47,45,2687
12,48,45,2754
13,48,46,2776
14,50,45,2787
15,50,45,2795
16,50,45,2831
17,50,44,3036
18,48,44,3195
19,46,43,3190
20,48,40,3126
21,46,39,3035
22,43,34,2883
23,40,32,2669
24,40,30,2462
1,46,42,2332
2,48,43,2231
3,48,42,2164
4,50,42,2138
5,51,42,2130
6,52,41,2177
7,53,43,2236
8,53,45,2339
9,53,46,2477
10,56,48,2589
11,58,48,2671
12,60,48,2720
13,59,47,2743
14,60,46,2740
15,60,45,2725
16,59,47,2743
17,57,48,2832
18,56,47,3014
19,53,48,3118
20,51,47,3062
21,50,48,2958
22,49,47,2804
23,52,50,2597
24,52,50,2391
1,53,51,2235
2,52,50,2158
3,52,50,2125
4,53,51,2130
5,54,52,2185
6,56,53,2377
7,55,53,2717
8,55,52,2976
9,54,51,3071
10,51,47,3135
11,45,42,3177
12,44,41,3201
13,43,39,3223
14,38,31,3238
15,36,25,3204
16,35,20,3193
17,34,19,3249
18,33,17,3412
19,32,18,3586
20,31,17,3542
21,30,15,3425
22,30,14,3221
23,30,15,2946
24,30,16,2690
1,46,43,2289
2,44,42,2183
3,42,41,2131
4,44,42,2118
5,52,49,2167
6,54,51,2353
7,55,51,2700
8,57,52,2953
9,58,54,3084
10,59,55,3155
11,59,55,3190
12,59,56,3177
13,60,55,3158
14,64,54,3143
15,59,53,3089
16,51,44,3103
17,48,45,3130
18,45,44,3155
19,43,36,3138
20,44,35,3208
21,43,34,3164
22,43,33,2995
23,43,31,2732
24,42,29,2484
1,48,43,2109
2,50,42,2003
3,51,40,1939
4,50,39,1915
5,48,36,1912
6,48,36,1924
7,46,35,1976
8,49,34,2105
9,51,33,2263
10,53,32,2389
11,54,33,2468
12,54,35,2512
13,53,38,2525
14,53,36,2506
15,53,36,2480
16,53,36,2471
17,52,35,2493
18,52,34,2534
19,52,33,2569
20,52,35,2644
21,51,37,2772
22,50,35,2655
23,51,33,2447
24,51,33,2237
1,51,33,2084
2,51,33,1998
3,50,36,1954
4,49,36,1952
5,48,37,1998
6,48,37,2165
7,45,37,2485
8,48,40,2749
9,52,38,2875
10,55,38,2963
11,56,39,3017
12,60,39,3063
13,58,41,3080
14,59,41,3077
15,58,39,3047
16,56,41,3025
17,57,41,3013
18,58,41,2980
19,56,43,2930
20,57,45,2980
21,55,47,3029
22,59,46,2855
23,61,42,2584
24,60,43,2318
1,60,42,2135
2,59,41,2026
3,59,41,1971
4,58,41,1960
5,56,44,1996
6,57,40,2142
7,54,42,2465
8,55,44,2765
9,58,43,2908
10,59,45,2995
11,62,46,3067
12,61,46,3111
13,61,49,3129
14,63,50,3145
15,65,49,3137
16,67,52,3139
17,69,52,3127
18,67,52,3084
19,65,52,3009
20,62,51,3044
21,61,49,3051
22,60,48,2880
23,59,49,2597
24,59,49,2347
1,58,50,2167
2,58,51,2062
3,57,52,2018
4,61,57,2013
5,59,55,2051
6,61,57,2218
7,62,57,2568
8,62,58,2884
9,63,58,3030
10,62,58,3107
11,63,58,3160
